name,density,surface_tension,dynamic_viscosity,kinematic_viscosity
Bis(2-ethylhexyl)phthalate (BEHP)_0.97,980.57,0.032348,0.069900292,7.13E-05
1-3-Butanediol_0.93,1001.79,0.048892,0.070718342,7.06E-05
Bis(2-ethylhexyl)phthalate (BEHP)_0.98,980.38,0.031932,0.0731166,7.46E-05
1-3-Butanediol_0.94,1001.82,0.048636,0.074124829,7.40E-05
Bis(2-ethylhexyl)phthalate (BEHP)_0.99,980.19,0.031516,0.0764809,7.80E-05
1-3-Butanediol_0.95,1001.85,0.04838,0.077695406,7.76E-05
1-3-Butanediol_0.96,1001.88,0.048124,0.081437977,8.13E-05
1-3-Butanediol_0.97,1001.91,0.047868,0.085360827,8.52E-05
1-3-Butanediol_0.98,1001.94,0.047612,0.089472639,8.93E-05
1-3-Butanediol_0.99,1001.97,0.047356,0.093782517,9.36E-05
